2018-11-20 06:24:47.7851 Info Loading Cardigann definition /app/Jackett/Definitions/torrenthr.yml 
2018-11-20 06:24:47.8080 Info Loading Cardigann definition /app/Jackett/Definitions/torrenting.yml 
2018-11-20 06:24:47.8250 Info Loading Cardigann definition /app/Jackett/Definitions/torrentland.yml 
2018-11-20 06:24:47.8478 Info Loading Cardigann definition /app/Jackett/Definitions/torrentlt.yml 
2018-11-20 06:24:47.8724 Info Loading Cardigann definition /app/Jackett/Definitions/torrentsectorcrew.yml 
2018-11-20 06:24:47.8944 Info Loading Cardigann definition /app/Jackett/Definitions/torrentseeds.yml 
2018-11-20 06:24:47.9159 Info Loading Cardigann definition /app/Jackett/Definitions/torrentsmd.yml 
2018-11-20 06:24:47.9331 Info Loading Cardigann definition /app/Jackett/Definitions/torrentz2.yml 
2018-11-20 06:24:47.9503 Info Loading Cardigann definition /app/Jackett/Definitions/torviet.yml 
2018-11-20 06:24:47.9722 Info Loading Cardigann definition /app/Jackett/Definitions/totheglory.yml 
2018-11-20 06:24:47.9909 Info Loading Cardigann definition /app/Jackett/Definitions/trancetraffic.yml 
2018-11-20 06:24:48.0055 Info Loading Cardigann definition /app/Jackett/Definitions/trezzor.yml 
2018-11-20 06:24:48.0263 Info Loading Cardigann definition /app/Jackett/Definitions/uhdbits.yml 
2018-11-20 06:24:48.0475 Info Loading Cardigann definition /app/Jackett/Definitions/ultimategamerclub.yml 
2018-11-20 06:24:48.0659 Info Loading Cardigann definition /app/Jackett/Definitions/unionfansub.yml 
2018-11-20 06:24:48.0838 Info Loading Cardigann definition /app/Jackett/Definitions/waffles.yml 
2018-11-20 06:24:48.1145 Info Loading Cardigann definition /app/Jackett/Definitions/wihd.yml 
2018-11-20 06:24:48.1381 Info Loading Cardigann definition /app/Jackett/Definitions/worldofp2p.yml 
2018-11-20 06:24:48.1634 Info Loading Cardigann definition /app/Jackett/Definitions/worldwidetorrents.yml 
2018-11-20 06:24:48.1964 Info Loading Cardigann definition /app/Jackett/Definitions/x-ite.me.yml 
2018-11-20 06:24:48.2233 Info Loading Cardigann definition /app/Jackett/Definitions/xbytes2.yml 
2018-11-20 06:24:48.2469 Info Loading Cardigann definition /app/Jackett/Definitions/xtremezone.yml 
2018-11-20 06:24:48.2661 Info Loading Cardigann definition /app/Jackett/Definitions/yggtorrent.yml 
2018-11-20 06:24:48.2946 Info Loading Cardigann definition /app/Jackett/Definitions/yourexotic.yml 
2018-11-20 06:24:48.3101 Info Loading Cardigann definition /app/Jackett/Definitions/zamundanet.yml 
2018-11-20 06:24:48.3296 Info Loading Cardigann definition /app/Jackett/Definitions/zelkaorg.yml 
2018-11-20 06:24:48.3493 Info Loading Cardigann definition /app/Jackett/Definitions/zooqle.yml 
2018-11-20 06:24:48.3771 Info Loading Cardigann definition /app/Jackett/Definitions/ztracker.yml 
2018-11-20 06:24:48.4008 Info Adding aggregate indexer 
2018-11-20 06:24:48.7766 Warn No XML encryptor configured. Key {19e5970c-be8a-480f-b391-bf4bcb3df6c2} may be persisted to storage in unencrypted form. 
2018-11-20 06:24:48.7766 Warn No XML encryptor configured. Key {19e5970c-be8a-480f-b391-bf4bcb3df6c2} may be persisted to storage in unencrypted form. 
2018-11-20 06:27:25.6860 Info Starting Jackett v0.10.455.0 
2018-11-20 06:27:28.0958 Info Environment version: 4.0.30319.42000 (/usr/lib/mono/4.5) 
2018-11-20 06:27:28.1059 Info OS version: Unix 4.9.125.0 (64bit OS) (64bit process) 
2018-11-20 06:27:28.1059 Info ThreadPool MaxThreads: 400 workerThreads, 200 completionPortThreads 
2018-11-20 06:27:28.1235 Info App config/log directory: /config/Jackett 
2018-11-20 06:27:28.1291 Info issue: Ubuntu 16.04.5 LTS \n \l 
2018-11-20 06:27:28.1391 Info mono version: 5.16.0.179 (tarball Thu Oct  4 10:29:10 UTC 2018) 
2018-11-20 06:27:28.2758 Info TrustedRootCertificates count: 148 
2018-11-20 06:27:28.2884 Info Using HTTP Client: HttpWebClient 
2018-11-20 06:27:28.6330 Info Loading Cardigann definitions from: /config/cardigann/definitions/, /etc/xdg/cardigan/definitions/, /app/Jackett/Definitions 
2018-11-20 06:27:28.6939 Info Loading Cardigann definition /app/Jackett/Definitions/1337x.yml 
2018-11-20 06:27:28.9159 Info Loading Cardigann definition /app/Jackett/Definitions/2fast4you.yml 
2018-11-20 06:27:28.9437 Info Loading Cardigann definition /app/Jackett/Definitions/3dtorrents.yml 
2018-11-20 06:27:28.9606 Info Loading Cardigann definition /app/Jackett/Definitions/Bittorrentfiles.yml 
2018-11-20 06:27:28.9861 Info Loading Cardigann definition /app/Jackett/Definitions/acidlounge.yml 
2018-11-20 06:27:29.0044 Info Loading Cardigann definition /app/Jackett/Definitions/anidex.yml 
2018-11-20 06:27:29.0194 Info Loading Cardigann definition /app/Jackett/Definitions/anirena.yml 
2018-11-20 06:27:29.0330 Info Loading Cardigann definition /app/Jackett/Definitions/aox.yml 
